dump_addr,size,ref_symbol,ref_elf,ref_addr,match_type,score,notes
0x0800D71A,76,CYCLE_OUT_IN_DUAL_math,ref1011_via,0x0800D71A,exact,1.000,xrefs: CYCLE_OUT_IN_DUAL@0x0800E120(ptr)
0x0800D768,80,DUAL_BEACON_math,ref1011_via,0x0800D768,exact,1.000,xrefs: DUAL_BEACON@0x0800E2E8(ptr)
0x0800D7B8,80,RAINBOW_BEACON_math,ref1011_via,0x0800D7B8,exact,1.000,xrefs: RAINBOW_BEACON@0x0800E2F4(ptr)
0x0800D808,52,SOLID_REACTIVE_SIMPLE_math,ref1011_via,0x0800D808,exact,1.000,xrefs: SOLID_REACTIVE_SIMPLE@0x0800E3F4(ptr)
0x0800D83C,72,SOLID_REACTIVE_WIDE_math,ref1011_via,0x0800D83C,exact,1.000,xrefs: SOLID_REACTIVE_MULTIWIDE@0x0800E544(ptr)
0x0800D884,120,SOLID_REACTIVE_NEXUS_math,ref1011_via,0x0800D884,exact,1.000,xrefs: SOLID_REACTIVE_MULTINEXUS@0x0800E554(ptr)
0x0800D8FC,76,SPLASH_math,ref1011_via,0x0800D8FC,exact,1.000,xrefs: SPLASH@0x0800E564(ptr)
0x0800D948,68,SOLID_SPLASH_math,ref1011_via,0x0800D948,exact,1.000,xrefs: SOLID_SPLASH@0x0800E580(ptr)
0x0800D98C,16,eeconfig_flag_rgb_matrix,ref1011_via,0x0800D98C,exact-ambiguous,1.000,ambiguous body {add_mods|add_weak_mods|eeconfig_flag_rgb_matrix} resolved by caller: b.w from rgb_matrix_mode_eeprom_helper@0x0800EB48+0x28 ; same body also matches: add_mods|add_weak_mods ; xrefs: rgb_matrix_mode_eeprom_helper@0x0800EB48(b) rgb_matrix_toggle_eeprom_helper@0x0800ECFC(bl) rgb_matrix_enable@0x0800ED74(bl) rgb_matrix_sethsv_eeprom_helper@0x0800EBF4(b) ...
0x0800D99C,32,eeconfig_init_rgb_matrix,ref1011_via,0x0800D99C,exact,1.000,xrefs: rgb_matrix_init@0x0800EAB4(bl)
