dump_addr,size,ref_symbol,ref_addr,ref_size,alignment_score,notes,obj,opcode_sim
0x08011280,2,early_hardware_init_post,0x0801111c,2,1.90,match; entry=bl; callgraph 1/1; opsim=1.00; truth=early_hardware_init_post,chibios.o,1.000
0x08011282,2,board_init,0x0801111e,2,1.90,match; entry=bl; callgraph 1/1; opsim=1.00; truth=board_init,chibios.o,1.000
0x08011284,16,__early_init,0x08011120,16,2.20,match; entry=bl; callgraph 4/4; opsim=1.00; truth=__early_init,chibios.o,1.000
0x08011294,12,boardInit,0x08011130,12,2.20,match; entry=bl; callgraph 3/3; opsim=1.00; truth=boardInit,chibios.o,1.000
0x080112a0,4,protocol_setup,0x0801113c,4,1.90,match; entry=bl; callgraph 1/1; opsim=1.00; truth=protocol_setup,chibios.o,1.000
0x080112a4,44,protocol_pre_init,0x08011140,44,2.50,match; entry=bl; callgraph 3/3; opsim=1.00; truth=protocol_pre_init,chibios.o,1.000
0x080112d0,12,protocol_post_init,0x0801116c,12,1.90,match; opsim=1.00; truth=protocol_post_init,chibios.o,1.000
0x080112dc,4,protocol_pre_task,0x08011178,4,1.90,match; entry=bl; callgraph 1/1; opsim=1.00; truth=protocol_pre_task,chibios.o,1.000
0x080112e0,16,protocol_post_task,0x0801117c,14,1.82,match; callgraph 1/1; opsim=0.89; truth=protocol_post_task,chibios.o,0.889
0x080112f0,120,get_usb_descriptor,0x0801118c,120,4.90,match; entry=bl; callgraph 1/1; opsim=1.00; truth=get_usb_descriptor,usb_descriptor.o,1.000
0x08011368,58,obnotify,0x08011204,58,2.20,match; entry=ptr; callgraph 2/2; opsim=1.00; truth=obnotify,usb_driver.o,1.000
0x080113a2,54,usb_start_receive,0x0801123e,54,2.20,match; entry=bl; callgraph 2/2; opsim=1.00; truth=usb_start_receive,usb_driver.o,1.000
0x080113d8,8,ibnotify,0x08011274,6,1.15,match; entry=ptr; opsim=0.80; truth=ibnotify,usb_driver.o,0.800
0x080113e0,56,usb_endpoint_in_init,0x0801127c,56,2.20,match; entry=bl; callgraph 2/2; opsim=1.00; truth=usb_endpoint_in_init,usb_driver.o,1.000
0x08011418,40,usb_endpoint_out_init,0x080112b4,40,2.20,match; entry=bl; callgraph 2/2; opsim=1.00; truth=usb_endpoint_out_init,usb_driver.o,1.000
0x08011440,32,usb_endpoint_in_start,0x080112dc,32,1.90,match; entry=bl; callgraph 1/1; opsim=1.00; truth=usb_endpoint_in_start,usb_driver.o,1.000
0x08011460,30,usb_endpoint_out_start,0x080112fc,30,1.90,match; entry=bl; callgraph 1/1; opsim=1.00; truth=usb_endpoint_out_start,usb_driver.o,1.000
0x0801147e,40,usb_endpoint_in_suspend_cb,0x0801131a,40,2.20,match; entry=bl; callgraph 3/3; opsim=1.00; truth=usb_endpoint_in_suspend_cb,usb_driver.o,1.000
0x080114a6,26,usb_endpoint_out_suspend_cb,0x08011342,26,2.20,match; entry=bl; callgraph 2/2; opsim=1.00; truth=usb_endpoint_out_suspend_cb,usb_driver.o,1.000
0x080114c0,6,usb_endpoint_in_wakeup_cb,0x0801135c,6,1.90,match; entry=bl; callgraph 1/1; opsim=1.00; truth=usb_endpoint_in_wakeup_cb,usb_driver.o,1.000
0x080114c6,6,usb_endpoint_out_wakeup_cb,0x08011362,6,1.90,match; entry=bl; callgraph 1/1; opsim=1.00; truth=usb_endpoint_out_wakeup_cb,usb_driver.o,1.000
0x080114cc,32,usb_endpoint_in_configure_cb,0x08011368,32,2.20,match; entry=bl; callgraph 3/3; opsim=1.00; truth=usb_endpoint_in_configure_cb,usb_driver.o,1.000
0x080114ec,22,usb_endpoint_out_configure_cb,0x08011388,22,2.20,match; entry=bl; callgraph 2/2; opsim=1.00; truth=usb_endpoint_out_configure_cb,usb_driver.o,1.000
0x08011502,150,usb_endpoint_in_tx_complete_cb,0x0801139e,150,2.20,match; entry=ptr; callgraph 3/3; opsim=1.00; truth=usb_endpoint_in_tx_complete_cb,usb_driver.o,1.000
0x08011598,66,usb_endpoint_out_rx_complete_cb,0x08011434,66,2.20,match; entry=ptr; callgraph 2/2; opsim=1.00; truth=usb_endpoint_out_rx_complete_cb,usb_driver.o,1.000
0x080115da,154,usb_endpoint_in_send,0x08011476,154,2.20,match; entry=bl; callgraph 6/6; opsim=1.00; truth=usb_endpoint_in_send,usb_driver.o,1.000
0x08011674,56,usb_endpoint_in_is_inactive,0x08011510,56,1.90,match; entry=bl; callgraph 1/1; opsim=1.00; truth=usb_endpoint_in_is_inactive,usb_driver.o,1.000
0x080116ac,76,usb_endpoint_out_receive,0x08011548,76,2.20,match; entry=bl; callgraph 2/2; opsim=1.00; truth=usb_endpoint_out_receive,usb_driver.o,1.000
0x080116f8,38,usb_set_report,0x08011594,38,2.20,match; entry=ptr; callgraph 1/1; opsim=1.00; truth=usb_set_report,usb_report_handling.o,1.000
0x0801171e,22,usb_get_report,0x080115ba,22,1.90,match; entry=ptr; opsim=1.00; truth=usb_get_report,usb_report_handling.o,1.000
0x08011734,28,usb_reset_report,0x080115d0,28,2.20,match; entry=ptr; callgraph 1/1; opsim=1.00; truth=usb_reset_report,usb_report_handling.o,1.000
0x08011750,58,usb_shared_set_report,0x080115ec,58,2.20,match; entry=ptr; callgraph 1/1; opsim=1.00; truth=usb_shared_set_report,usb_report_handling.o,1.000
0x0801178a,28,usb_shared_get_report,0x08011626,28,1.90,match; entry=ptr; opsim=1.00; truth=usb_shared_get_report,usb_report_handling.o,1.000
0x080117a6,38,usb_shared_reset_report,0x08011642,38,2.20,match; entry=ptr; callgraph 1/1; opsim=1.00; truth=usb_shared_reset_report,usb_report_handling.o,1.000
0x080117cc,88,usb_get_report_cb,0x08011668,88,1.90,match; opsim=1.00; truth=usb_get_report_cb,usb_report_handling.o,1.000
0x08011824,28,usb_set_idle_rate,0x080116c0,28,1.90,match; entry=ptr; opsim=1.00; truth=usb_set_idle_rate,usb_report_handling.o,1.000
0x08011840,12,usb_get_idle_rate,0x080116dc,12,1.90,match; entry=ptr; opsim=1.00; truth=usb_get_idle_rate,usb_report_handling.o,1.000
0x0801184c,80,usb_idle_timer_elapsed,0x080116e8,80,2.50,match; entry=ptr; callgraph 2/2; opsim=1.00; truth=usb_idle_timer_elapsed,usb_report_handling.o,1.000
0x0801189c,36,usb_shared_set_idle_rate,0x08011738,36,1.90,match; entry=ptr; opsim=1.00; truth=usb_shared_set_idle_rate,usb_report_handling.o,1.000
0x080118c0,24,usb_shared_get_idle_rate,0x0801175c,22,1.65,match; entry=ptr; opsim=0.95; truth=usb_shared_get_idle_rate,usb_report_handling.o,0.947
0x080118d8,88,usb_shared_idle_timer_elapsed,0x08011774,88,2.50,match; entry=ptr; callgraph 2/2; opsim=1.00; truth=usb_shared_idle_timer_elapsed,usb_report_handling.o,1.000
0x08011930,244,usb_idle_task,0x080117cc,244,2.20,match; callgraph 2/2; opsim=1.00; truth=usb_idle_task,usb_report_handling.o,1.000
0x08011a24,80,usb_get_idle_cb,0x080118c0,80,1.90,match; opsim=1.00; truth=usb_get_idle_cb,usb_report_handling.o,1.000
0x08011a74,76,usb_set_idle_cb,0x08011910,76,1.90,match; opsim=1.00; truth=usb_set_idle_cb,usb_report_handling.o,1.000
0x08011ac0,24,__core_init,0x0801195c,24,1.90,match; entry=bl; callgraph 1/1; opsim=1.00; truth=__core_init,chmemcore.o,1.000
0x08011ad8,44,chCoreAllocFromBaseI,0x08011974,44,1.90,match; entry=bl; callgraph 1/1; opsim=1.00; truth=chCoreAllocFromBaseI,chmemcore.o,1.000
0x08011b04,20,chCoreAllocFromBase,0x080119a0,20,2.20,match; entry=bl; callgraph 2/2; opsim=1.00; truth=chCoreAllocFromBase,chmemcore.o,1.000
0x08011b18,2,__cpu_init,0x080119b4,2,1.90,match; entry=bl; callgraph 1/1; opsim=1.00; truth=__cpu_init,crt1.o,1.000
0x08011b1a,2,__late_init,0x080119b6,2,1.90,match; entry=bl; callgraph 1/1; opsim=1.00; truth=__late_init,crt1.o,1.000
0x08011b1c,4,__default_exit,0x080119b8,2,0.40,match; opsim=0.67; truth=__default_exit,crt1.o,0.667
0x08011b20,76,__init_ram_areas,0x080119bc,76,1.60,match; entry=bl; callgraph 1/1; opsim=1.00; truth=__init_ram_areas,crt1.o,1.000
0x08011b6c,48,chSysInit,0x08011a08,48,1.90,match; callgraph 2/2; opsim=1.00; truth=chSysInit,chsys.o,1.000
0x08011b9c,24,chSysHalt,0x08011a38,24,1.90,match; entry=bl; callgraph 5/5; opsim=1.00; truth=chSysHalt,chsys.o,1.000
0x08011bb4,4,chSysTimerHandlerI,0x08011a50,4,1.90,match; entry=bl; callgraph 1/1; opsim=1.00; truth=chSysTimerHandlerI,chsys.o,1.000
0x08011bb8,18,chSysGetStatusAndLockX,0x08011a54,18,1.90,match; entry=bl; callgraph 2/2; opsim=1.00; truth=chSysGetStatusAndLockX,chsys.o,1.000
0x08011bca,30,chSysRestoreStatusX,0x08011a66,30,2.20,match; entry=bl; callgraph 2/2; opsim=1.00; truth=chSysRestoreStatusX,chsys.o,1.000
