dump_addr,size,ref_symbol,ref_addr,ref_size,alignment_score,notes,obj,opcode_sim
0x0800aae4,8,encoder0_pad_cb,0x0800aa62,6,1.15,match; entry=ptr; opsim=0.40,keychron_common.o,0.400
0x0800aaec,188,process_record_keychron_common,0x0800aa68,188,3.70,match; callgraph 3/3; opsim=0.94,keychron_common.o,0.939
0x0800aba8,52,keychron_common_task,0x0800ab24,52,2.50,match; entry=bl; callgraph 3/3; opsim=1.00,keychron_common.o,1.000
0x0800abdc,96,encoder_cb_init,0x0800ab58,96,4.20,match; entry=bl; callgraph 4/4; opsim=1.00,keychron_common.o,1.000
0x0800ac3c,148,via_command_kb,0x0800abb8,148,1.90,match; callgraph 5/5; opsim=1.00,keychron_common.o,1.000
0x0800acd0,4,,,,,INSERTION (no ref function); entry=bl,,
0x0800acd4,16,factory_timer_start,0x0800ac4c,16,2.20,match; entry=bl; callgraph 2/2; opsim=1.00,factory_test.o,1.000
0x0800ace4,240,process_record_factory_test,0x0800ac5c,240,2.50,match; entry=bl; callgraph 2/2; opsim=0.94,factory_test.o,0.939
0x0800add4,92,factory_test_indicator,0x0800ad4c,92,2.20,match; entry=bl; callgraph 2/2; opsim=0.89,factory_test.o,0.892
0x0800ae30,16,factory_reset_indicating,0x0800ada8,16,1.90,match; entry=bl; callgraph 2/2; opsim=1.00,factory_test.o,1.000
0x0800ae40,200,factory_test_task,0x0800adb8,192,2.38,match; entry=bl; callgraph 11/11; opsim=0.99,factory_test.o,0.985
0x0800af08,80,factory_test_send,0x0800ae78,72,1.90,match; entry=bl; callgraph 4/4; opsim=0.59,factory_test.o,0.590
0x0800af58,360,factory_test_rx,0x0800aec0,352,3.83,match; entry=bl; callgraph 4/4; opsim=0.95,factory_test.o,0.951
0x0800b0c0,44,dip_switch_update_user,0x0800b020,40,1.93,match; entry=bl; callgraph 2/2; opsim=0.62,factory_test.o,0.621
0x0800b0ec,32,dip_switch_update_kb,0x0800b048,32,2.20,match; entry=bl; callgraph 3/3; opsim=0.93,v10_max.o,0.929
0x0800b10c,76,keyboard_post_init_kb,0x0800b068,76,4.80,match; entry=bl; callgraph 6/6; opsim=1.00,v10_max.o,1.000
0x0800b158,48,keychron_task_kb,0x0800b0b4,48,4.80,match; entry=bl; callgraph 2/2; opsim=1.00,v10_max.o,1.000
0x0800b188,32,lpm_is_kb_idle,0x0800b0e4,28,1.82,match; entry=bl; callgraph 2/2; opsim=0.95,v10_max.o,0.952
