dump_addr,size,ref_symbol,ref_addr,ref_size,alignment_score,notes,region,obj,opcode_sim
0x0800d4ca,10,led_suspend,0x0800b51a,10,2.20,match; entry=bl; callgraph 2/2; opsim=1.00,,led.o,1.000
0x0800d4d4,12,led_wakeup,0x0800b524,12,2.20,match; entry=bl; callgraph 3/3; opsim=1.00,,led.o,1.000
0x0800d4e0,44,led_task,0x0800b530,44,2.20,match; callgraph 3/3; opsim=1.00,,led.o,1.000
0x0800d50c,64,action_exec,0x0800b55c,96,0.20,match; entry=bl; callgraph 6/6; opsim=0.55,,action.o,0.545
0x0800d54c,14,process_record_tap_hint,0x0800b5bc,14,1.90,match; entry=bl; callgraph 1/1; opsim=1.00,,action.o,1.000
0x0800d55a,22,register_mouse,0x0800b5ca,22,2.20,match; entry=bl; callgraph 3/3; opsim=1.00,,action.o,1.000
0x0800d570,144,register_code,0x0800b5e0,144,3.70,match; entry=bl; callgraph 8/9; opsim=1.00,,action.o,1.000
0x0800d600,114,unregister_code,0x0800b670,114,2.20,match; entry=bl; callgraph 6/7; opsim=1.00,,action.o,1.000
0x0800d672,18,register_mods,0x0800b712,18,2.20,match; entry=bl; callgraph 2/2; opsim=1.00,,action.o,1.000
0x0800d684,20,unregister_mods,0x0800b724,18,1.90,match; entry=bl; callgraph 2/2; opsim=0.92,,action.o,0.923
0x0800d698,1052,process_action,0x0800b738,1028,1.43,match; callgraph 40/40; opsim=0.92,,action.o,0.917
0x0800dab4,36,process_record_handler,0x0800bb3c,34,2.03,match; entry=bl; callgraph 4/4; opsim=0.96,,action.o,0.960
0x0800dad8,60,process_record,0x0800bb60,60,2.20,match; entry=bl; callgraph 7/7; opsim=1.00,,action.o,1.000
0x0800db14,34,clear_keyboard_but_mods_and_keys,0x0800bbc0,34,2.20,match; callgraph 5/5; opsim=1.00,,action.o,1.000
0x0800db36,14,clear_keyboard_but_mods,0x0800bbe2,14,2.20,match; callgraph 1/1; opsim=1.00,,action.o,1.000
0x0800db44,14,clear_keyboard,0x0800bbf0,14,2.20,match; entry=bl; callgraph 7/7; opsim=1.00,,action.o,1.000
0x0800db52,66,is_tap_action,0x0800bbfe,72,1.65,match; opsim=0.75,,action.o,0.750
0x0800db94,24,is_tap_record,0x0800bc46,24,2.20,match; entry=bl; callgraph 2/2; opsim=0.89,,action.o,0.889
0x0800dbac,12,debug_event,0x0800bc5e,10,1.40,match; entry=bl; callgraph 1/1; opsim=0.67,,action.o,0.667
0x0800dbb8,12,debug_record,0x0800bc68,10,1.40,match; entry=bl; callgraph 2/2; opsim=0.67,,action.o,0.667
0x0800dbc4,2,default_layer_state_set_user,0x0800bc72,2,1.90,HOOK-DEFAULT: default_layer_state_set_user (2 B default); match; entry=bl; callgraph 1/1; opsim=1.00,,action_layer.o,1.000
0x0800dbc6,10,default_layer_state_set_kb,0x0800bc74,8,1.60,match; entry=bl; callgraph 2/2; opsim=0.86,,action_layer.o,0.857
0x0800dbd0,16,default_layer_state_set,0x0800bc7c,16,2.20,match; callgraph 1/1; opsim=1.00,,action_layer.o,1.000
0x0800dbe0,2,default_layer_debug,0x0800bc8c,2,1.90,match; entry=bl; callgraph 1/1; opsim=1.00,,action_layer.o,1.000
0x0800dbe2,6,default_layer_set,0x0800bc8e,4,0.90,match; entry=bl; callgraph 4/4; opsim=0.67,,action_layer.o,0.667
0x0800dbe8,16,default_layer_or,0x0800bc94,16,1.90,match; entry=bl; callgraph 1/1; opsim=1.00,,action_layer.o,1.000
