entry,size,name,n_callers,n_callees,is_thunk,signature,strings
0x0800A89C,24,FUN_0800a89c,2,1,0,"bool FUN_0800a89c(void)",
0x0800A8BC,6,FUN_0800a8bc,2,0,0,"undefined FUN_0800a8bc(undefined1 param_1)",
0x0800A8C8,6,FUN_0800a8c8,1,0,0,"undefined FUN_0800a8c8(undefined1 param_1)",
0x0800A8D4,162,FUN_0800a8d4,1,7,0,"undefined FUN_0800a8d4(void)",
0x0800A98C,130,FUN_0800a98c,1,3,0,"undefined FUN_0800a98c(int param_1)",
0x0800AA20,58,FUN_0800aa20,4,3,0,"undefined FUN_0800aa20(void)",
0x0800AA64,200,FUN_0800aa64,17,6,0,"undefined FUN_0800aa64(byte * param_1, uint param_2, char param_3, int param_4)",
0x0800AB3C,48,FUN_0800ab3c,0,3,0,"undefined FUN_0800ab3c(undefined4 * param_1)",
0x0800AB70,48,FUN_0800ab70,0,3,0,"undefined FUN_0800ab70(undefined4 * param_1)",
0x0800ABA4,50,FUN_0800aba4,0,2,0,"undefined FUN_0800aba4(undefined4 param_1)",
0x0800ABDC,60,FUN_0800abdc,0,2,0,"undefined FUN_0800abdc(char param_1)",
0x0800AC1C,70,FUN_0800ac1c,0,2,0,"undefined FUN_0800ac1c(int param_1)",
0x0800AC68,118,FUN_0800ac68,0,5,0,"undefined FUN_0800ac68(undefined1 param_1, undefined4 * * * param_2, undefined4 param_3, undefined4 param_4)",
0x0800ACEC,60,FUN_0800acec,0,3,0,"undefined FUN_0800acec(undefined1 param_1, undefined4 param_2)",
0x0800AD2C,60,FUN_0800ad2c,0,4,0,"undefined FUN_0800ad2c(void)",
0x0800AD70,44,FUN_0800ad70,0,2,0,"undefined FUN_0800ad70(undefined1 param_1)",
0x0800ADA0,78,FUN_0800ada0,1,6,0,"undefined FUN_0800ada0(uint param_1, char param_2)",
0x0800ADF8,36,FUN_0800adf8,1,2,0,"undefined FUN_0800adf8(void)",
0x0800AE58,44,FUN_0800ae58,1,2,0,"undefined FUN_0800ae58(undefined1 param_1)",
0x0800AE88,48,FUN_0800ae88,1,3,0,"undefined FUN_0800ae88(undefined4 * param_1)",
0x0800AEBC,56,FUN_0800aebc,1,4,0,"undefined FUN_0800aebc(undefined4 * param_1)",
0x0800AEF8,48,FUN_0800aef8,1,3,0,"undefined FUN_0800aef8(byte param_1)",
0x0800AF8C,124,FUN_0800af8c,1,3,0,"undefined FUN_0800af8c(undefined1 param_1, undefined4 * param_2, uint param_3, undefined1 param_4)",
0x0800B008,616,FUN_0800b008,0,9,0,"undefined FUN_0800b008(void)",
0x0800B290,148,lkbt51_dfu_rx,1,2,0,"undefined lkbt51_dfu_rx(char * param_1)",
0x0800B328,34,FUN_0800b328,2,2,0,"undefined FUN_0800b328(void)",
0x0800B354,18,FUN_0800b354,4,2,0,"undefined FUN_0800b354(void)",
0x0800B366,4,thunk_FUN_08010cd4,1,0,1,"undefined thunk_FUN_08010cd4(void)",
0x0800B36A,14,FUN_0800b36a,2,1,0,"bool FUN_0800b36a(void)",
0x0800B378,30,FUN_0800b378,4,2,0,"uint FUN_0800b378(void)",
0x0800B39C,28,FUN_0800b39c,2,0,0,"bool FUN_0800b39c(void)",
0x0800B3C4,34,FUN_0800b3c4,2,4,0,"undefined FUN_0800b3c4(void)",
0x0800B3EC,38,FUN_0800b3ec,5,1,0,"undefined FUN_0800b3ec(int param_1)",
0x0800B420,102,FUN_0800b420,5,6,0,"undefined FUN_0800b420(uint param_1, uint param_2, undefined4 param_3)",
0x0800B494,44,FUN_0800b494,3,3,0,"undefined FUN_0800b494(void)",
0x0800B4C4,250,FUN_0800b4c4,2,9,0,"undefined4 FUN_0800b4c4(void)",
0x0800B5D0,200,FUN_0800b5d0,2,5,0,"undefined FUN_0800b5d0(char * param_1)",
0x0800B6AC,292,FUN_0800b6ac,2,8,0,"undefined FUN_0800b6ac(uint param_1, uint param_2)",
0x0800B800,24,FUN_0800b800,1,2,0,"undefined FUN_0800b800(void)",
0x0800B81C,16,FUN_0800b81c,3,1,0,"uint FUN_0800b81c(void)",
0x0800B82C,154,FUN_0800b82c,1,5,0,"undefined FUN_0800b82c(void)",
0x0800B8DC,48,FUN_0800b8dc,1,5,0,"undefined FUN_0800b8dc(void)",
0x0800B91C,78,FUN_0800b91c,2,10,0,"int FUN_0800b91c(void)",
0x0800B970,2,FUN_0800b970,1,0,0,"undefined FUN_0800b970(void)",
0x0800B972,30,FUN_0800b972,1,5,0,"undefined4 FUN_0800b972(void)",
0x0800B990,90,FUN_0800b990,1,7,0,"undefined FUN_0800b990(int param_1, undefined4 param_2, undefined4 param_3)",
0x0800B9F8,90,FUN_0800b9f8,1,7,0,"undefined FUN_0800b9f8(int param_1, undefined4 param_2, undefined4 param_3)",
0x0800BA60,52,FUN_0800ba60,1,2,0,"undefined FUN_0800ba60(int param_1, undefined4 param_2, undefined4 param_3)",
0x0800BA9C,258,FUN_0800ba9c,1,15,0,"undefined FUN_0800ba9c(uint param_1)",
0x0800BBB4,6,FUN_0800bbb4,13,0,0,"undefined1 FUN_0800bbb4(void)",
0x0800BBC0,108,FUN_0800bbc0,1,9,0,"undefined FUN_0800bbc0(void)",
0x0800BC30,58,FUN_0800bc30,1,1,0,"undefined FUN_0800bc30(void)",
0x0800BC70,18,FUN_0800bc70,9,1,0,"undefined FUN_0800bc70(void)",
0x0800BC8C,20,FUN_0800bc8c,1,2,0,"undefined FUN_0800bc8c(void)",
0x0800BCA4,12,FUN_0800bca4,1,0,0,"undefined FUN_0800bca4(void)",
0x0800BCB8,12,FUN_0800bcb8,4,0,0,"uint FUN_0800bcb8(void)",
0x0800BCC8,242,FUN_0800bcc8,1,7,0,"int FUN_0800bcc8(uint param_1)",
0x0800BDCC,418,FUN_0800bdcc,1,24,0,"undefined FUN_0800bdcc(void)",
0x0800BF94,84,FUN_0800bf94,2,0,0,"undefined4 FUN_0800bf94(int param_1)",
0x0800BFF4,82,FUN_0800bff4,1,2,0,"undefined FUN_0800bff4(void)",
0x0800C058,12,FUN_0800c058,2,1,0,"undefined FUN_0800c058(void)",
0x0800C068,2,FUN_0800c068,1,0,0,"undefined FUN_0800c068(void)",
0x0800C06A,58,FUN_0800c06a,1,2,0,"undefined FUN_0800c06a(void)",
0x0800C074,104,FUN_0800c074,1,1,0,"undefined FUN_0800c074(int param_1, int param_2)",
0x0800C0EC,84,FUN_0800c0ec,2,0,0,"char FUN_0800c0ec(void)",
0x0800C144,14,FUN_0800c144,3,0,0,"bool FUN_0800c144(void)",
0x0800C158,14,FUN_0800c158,9,0,0,"bool FUN_0800c158(void)",
0x0800C16C,52,FUN_0800c16c,1,2,0,"undefined FUN_0800c16c(void)",
0x0800C1AC,44,FUN_0800c1ac,1,1,0,"undefined FUN_0800c1ac(void)",
0x0800C1E0,178,FUN_0800c1e0,1,13,0,"undefined FUN_0800c1e0(undefined4 param_1, uint param_2, undefined4 param_3)",
0x0800C2AC,54,FUN_0800c2ac,1,2,0,"undefined FUN_0800c2ac(undefined1 param_1)",
0x0800C304,12,FUN_0800c304,1,0,0,"bool FUN_0800c304(void)",
0x0800C314,100,FUN_0800c314,1,2,0,"undefined FUN_0800c314(undefined4 param_1, undefined4 param_2, undefined4 param_3, undefined4 param_4)",
0x0800C390,134,FUN_0800c390,1,5,0,"undefined FUN_0800c390(void)",
0x0800C43C,34,FUN_0800c43c,1,2,0,"undefined FUN_0800c43c(void)",
0x0800C46C,22,FUN_0800c46c,2,1,0,"undefined FUN_0800c46c(undefined4 param_1, undefined4 param_2, undefined4 param_3)",
0x0800C48C,22,FUN_0800c48c,3,1,0,"uint FUN_0800c48c(uint param_1, uint param_2, undefined4 param_3)",
0x0800C4A8,12,FUN_0800c4a8,1,1,0,"int FUN_0800c4a8(uint param_1, uint param_2, undefined4 param_3)",
