hook,dump_addr,size,status,ref_elf,evidence
wireless_enter_reconnecting_kb,0x0800A42E,2,exact-ambiguous,"ref1011_default,ref1011_feat,ref1011_via",wireless_enter_reconnecting_kb:bl(fuzzy-paired) from wireless_event_task@0x0800A570+0x92
wireless_enter_disconnected_kb,0x0800C598,44,exact,"ref1011_default,ref1011_feat,ref1011_via",wireless_enter_disconnected_kb:bl(fuzzy-paired) from wireless_event_task@0x0800A570+0xDE
wireless_enter_bluetooth_pin_code_entry_kb,0x0800A432,2,exact-ambiguous,"ref1011_default,ref1011_default_lto,ref1011_feat,ref1011_feat_lto,ref1011_via,ref1011_via_lto",wireless_enter_bluetooth_pin_code_entry_kb:bl(fuzzy-paired) from wireless_event_task@0x0800A570+0x106
wireless_exit_bluetooth_pin_code_entry_kb,0x0800A434,2,exact-ambiguous,"ref1011_default,ref1011_feat,ref1011_via",wireless_exit_bluetooth_pin_code_entry_kb:bl(fuzzy-paired) from wireless_event_task@0x0800A570+0x11C
wireless_enter_sleep_kb,0x0800A436,2,exact-ambiguous,"ref1011_default,ref1011_feat,ref1011_via",wireless_enter_sleep_kb:bl(fuzzy-paired) from wireless_event_task@0x0800A570+0x138
matrix_init_kb,0x0800ED0E,8,exact-ambiguous,"ref1011_default,ref1011_feat,ref1011_via",matrix_init_kb:b.w(fuzzy-paired) from matrix_init@0x0800EE58+0x26
process_record_keychron_kb,0x0800C69C,4,UNMATCHED-custom-code-candidate,,bl(fuzzy-paired) from process_record_keychron@0x0800C6A0+0x20
matrix_init_user,0x0800ED0C,2,exact-ambiguous,"ref1011_default,ref1011_feat,ref1011_via",matrix_init_user:bl from matrix_init_kb@0x0800ED0E+0x2
tap_dance_actions[0].fn.on_dance_finished,0x0800D1EC,112,UNMATCHED-custom-code-candidate,,pointer 0x0800D1ED in tap_dance_actions init image
tap_dance_actions[0].fn.on_reset,0x0800CDD8,28,UNMATCHED-custom-code-candidate,,pointer 0x0800CDD9 in tap_dance_actions init image
