dump_addr,size,ref_symbol,ref_elf,ref_addr,match_type,score,notes
0x080137C4,44,Vector80,ref1011_via_lto,0x0801258C,fuzzy-anchored,0.649,call-anchored: vector slot 0x80 ; xrefs: _vectors@0x08000080(vec)
0x080137F0,44,Vector84,ref1011_via_lto,0x080125B8,fuzzy-anchored,0.649,call-anchored: vector slot 0x84 ; xrefs: _vectors@0x08000084(vec)
0x0801381C,44,VectorFC,ref1011_via_lto,0x080125E4,fuzzy-anchored,0.727,call-anchored: vector slot 0xFC ; xrefs: _vectors@0x080000FC(vec)
0x08013848,40,Vector120,ref1011_via_lto,0x08012610,exact,1.000,xrefs: _vectors@0x08000120(vec)
0x08013870,44,Vector124,ref1011_via_lto,0x08012638,fuzzy-anchored,0.649,call-anchored: vector slot 0x124 ; xrefs: _vectors@0x08000124(vec)
0x0801389C,44,Vector128,ref1011_via_lto,0x08012664,fuzzy-anchored,0.649,call-anchored: vector slot 0x128 ; xrefs: _vectors@0x08000128(vec)
0x080138C8,44,Vector12C,ref1011_via_lto,0x08012690,fuzzy-anchored,0.727,call-anchored: vector slot 0x12C ; xrefs: _vectors@0x0800012C(vec)
0x080138F4,40,Vector130,ref1011_via_lto,0x080126BC,exact,1.000,xrefs: _vectors@0x08000130(vec)
0x0801391C,44,Vector150,ref1011_via_lto,0x080126E4,fuzzy-anchored,0.649,call-anchored: vector slot 0x150 ; xrefs: _vectors@0x08000150(vec)
0x08013948,44,Vector154,ref1011_via_lto,0x08012710,fuzzy-anchored,0.649,call-anchored: vector slot 0x154 ; xrefs: _vectors@0x08000154(vec)
0x08013974,44,Vector158,ref1011_via_lto,0x0801273C,fuzzy-anchored,0.564,call-anchored: vector slot 0x158 ; xrefs: _vectors@0x08000158(vec)
0x08013B74,216,_pal_lld_setgroupmode,ref1011_via_lto,0x0801276C,fuzzy-anchored,0.745,call-anchored: bl from spi_init@0x08010E58+0x12 ; xrefs: spi_init@0x08010E58(bl) spi_init@0x08010E58(bl) spi_init@0x08010E58(bl) spi_init@0x08010E58(bl) ...
0x08013CB0,88,_pal_lld_disablepadevent.isra.0,ref1011_via_lto,0x08012890,fuzzy,1.000,
0x08013D08,86,otg_disable_ep,ref1011_via_lto,0x08010580,exact,1.000,
