dump_addr,size,ref_symbol,ref_elf,ref_addr,match_type,score,notes
0x0800E400,12,BAND_SPIRAL_VAL|CYCLE_ALL|CYCLE_LEFT_RIGHT|CYCLE_OUT_IN|CYCLE_OUT_IN_DUAL|CYCLE_PINWHEEL|CYCLE_SPIRAL|CYCLE_UP_DOWN|DUAL_BEACON|RAINBOW_BEACON|RAINBOW_MOVING_CHEVRON|SOLID_REACTIVE_SIMPLE,ref1011_via,0x0800E038,exact-ambiguous,1.000,identical body for: BAND_SPIRAL_VAL|CYCLE_ALL|CYCLE_LEFT_RIGHT|CYCLE_OUT_IN|CYCLE_OUT_IN_DUAL|CYCLE_PINWHEEL|CYCLE_SPIRAL|CYCLE_UP_DOWN|DUAL_BEACON|RAINBOW_BEACON|RAINBOW_MOVING_CHEVRON|SOLID_REACTIVE_SIMPLE
0x0800E40C,12,BAND_SPIRAL_VAL|CYCLE_ALL|CYCLE_LEFT_RIGHT|CYCLE_OUT_IN|CYCLE_OUT_IN_DUAL|CYCLE_PINWHEEL|CYCLE_SPIRAL|CYCLE_UP_DOWN|DUAL_BEACON|RAINBOW_BEACON|RAINBOW_MOVING_CHEVRON|SOLID_REACTIVE_SIMPLE,ref1011_via,0x0800E038,exact-ambiguous,1.000,identical body for: BAND_SPIRAL_VAL|CYCLE_ALL|CYCLE_LEFT_RIGHT|CYCLE_OUT_IN|CYCLE_OUT_IN_DUAL|CYCLE_PINWHEEL|CYCLE_SPIRAL|CYCLE_UP_DOWN|DUAL_BEACON|RAINBOW_BEACON|RAINBOW_MOVING_CHEVRON|SOLID_REACTIVE_SIMPLE
0x0800E4F8,12,BAND_SPIRAL_VAL|CYCLE_ALL|CYCLE_LEFT_RIGHT|CYCLE_OUT_IN|CYCLE_OUT_IN_DUAL|CYCLE_PINWHEEL|CYCLE_SPIRAL|CYCLE_UP_DOWN|DUAL_BEACON|RAINBOW_BEACON|RAINBOW_MOVING_CHEVRON|SOLID_REACTIVE_SIMPLE,ref1011_via,0x0800E038,exact-ambiguous,1.000,identical body for: BAND_SPIRAL_VAL|CYCLE_ALL|CYCLE_LEFT_RIGHT|CYCLE_OUT_IN|CYCLE_OUT_IN_DUAL|CYCLE_PINWHEEL|CYCLE_SPIRAL|CYCLE_UP_DOWN|DUAL_BEACON|RAINBOW_BEACON|RAINBOW_MOVING_CHEVRON|SOLID_REACTIVE_SIMPLE
0x0800E63C,16,SOLID_REACTIVE_MULTINEXUS|SOLID_REACTIVE_MULTIWIDE,ref1011_via,0x0800E544,exact-ambiguous,1.000,identical body for: SOLID_REACTIVE_MULTINEXUS|SOLID_REACTIVE_MULTIWIDE
0x0800E64C,16,SOLID_REACTIVE_MULTINEXUS|SOLID_REACTIVE_MULTIWIDE,ref1011_via,0x0800E544,exact-ambiguous,1.000,identical body for: SOLID_REACTIVE_MULTINEXUS|SOLID_REACTIVE_MULTIWIDE
0x0800E65C,28,SOLID_SPLASH|SPLASH,ref1011_via,0x0800E564,exact-ambiguous,1.000,identical body for: SOLID_SPLASH|SPLASH
0x0800E678,28,SOLID_SPLASH|SPLASH,ref1011_via,0x0800E564,exact-ambiguous,1.000,identical body for: SOLID_SPLASH|SPLASH
0x0800E7BC,120,JELLYBEAN_RAINDROPS,ref1011_via,0x0800E6CC,fuzzy,0.909,
0x0800EB68,4,_getpid|_isatty_r|dip_switch_update_mask_user|is_keyboard_master|led_update_user|matrix_can_read|pre_process_record_user|process_action_kb|process_record_keychron_kb|rgb_matrix_indicators_advanced_user|rgb_matrix_indicators_user|shutdown_user,ref1011_via,0x0800A9EC,exact-ambiguous,1.000,tiny body placed (adjacent) ; identical body for: _getpid|_isatty_r|dip_switch_update_mask_user|is_keyboard_master|led_update_user|matrix_can_read|pre_process_record_user|process_action_kb|process_record_keychron_kb|rgb_matrix_indicators_advanced_user|rgb_matrix_indicators_user|shutdown_user
0x0800EB6C,8,bootmagic|default_layer_state_set_kb|dip_switch_update_mask_kb|host_keyboard_led_state|keyboard_pre_init_kb|layer_state_set_kb|matrix_init_kb|matrix_output_unselect_delay|matrix_scan_kb|notify_usb_device_state_change_kb|oneshot_layer_changed_kb|oneshot_locked_mods_changed_kb|oneshot_mods_changed_kb|post_process_record_kb|pre_process_record_kb|rgb_matrix_indicators_advanced_kb|should_process_keypress|shutdown_kb|suspend_power_down_kb|suspend_wakeup_init_kb,ref1011_via,0x0800B150,exact-ambiguous,1.000,identical body for: bootmagic|default_layer_state_set_kb|dip_switch_update_mask_kb|host_keyboard_led_state|keyboard_pre_init_kb|layer_state_set_kb|matrix_init_kb|matrix_output_unselect_delay|matrix_scan_kb|notify_usb_device_state_change_kb|oneshot_layer_changed_kb|oneshot_locked_mods_changed_kb|oneshot_mods_changed_kb|post_process_record_kb|pre_process_record_kb|rgb_matrix_indicators_advanced_kb|should_process_keypress|shutdown_kb|suspend_power_down_kb|suspend_wakeup_init_kb
