start,size,kind,fn_starts,suggested_names,callers,callees
0x0801543E,1802,code,0x08015440 0x080156A0 0x0801577C 0x080157A4 0x08015814 0x08015828 0x08015858 0x08015916 0x0801591E 0x08015934 0x08015956 0x08015A6C,0x08015440=_vfiprintf_r,0x08015440<-fiprintf@0x080153B0(bl),0x08015454->0x08015D7C 0x0801546E->0x08015EB8 0x08015480->0x08015A6C 0x080154B2->0x08015EBA 0x080154F0->__sfputs_r 0x0801552C->memchr 0x080155C0->memchr 0x080155E4->memchr 0x0801565C->0x08015EBA 0x08015678->0x0801577C 0x080158D8->0x080156A0 0x08015964->memchr 0x080159D6->0x08015D7C 0x08015A04->0x08015C54 0x08015A2E->0x08015C54 0x08015A50->0x08015A6C
0x08015C54,120,code,,,,0x08015C6A->0x08015D7C 0x08015C8A->0x08015EB8 0x08015C92->__sflush_r 0x08015CA6->0x08015EBA
0x08015D20,616,code,0x08015D4C 0x08015D58 0x08015D64 0x08015D7C 0x08015DEC 0x08015EA4 0x08015EB6 0x08015EB8 0x08015EBA 0x08015EBC 0x08015F08,,,0x08015D2E->0x08015104 0x08015D44->memset 0x08015D80->0x08015D64 0x08015DA8->0x08015DEC 0x08015DB0->0x08015DEC 0x08015DB8->0x08015DEC 0x08015DC4->std 0x08015DCE->std 0x08015DD8->std 0x08015DF0->0x08015D4C 0x08015DFE->0x08015D7C 0x08015E24->0x08015EB6 0x08015E28->0x08015D58 0x08015E40->memset 0x08015E58->0x08015D20 0x08015E64->0x08015D58
0x08015FE2,36,code,,0x08015FE2=__sseek,0x08015FE2<-std@0x08015CCC(ptr),0x08015FEA->_lseek_r
0x0801609C,48,post-text(rodata/.data image),0x080160A6 0x080160A8,,,
0x0801667C,60,ascii-strings,,,,
0x080166C0,638,post-text(rodata/.data image),0x080166E4 0x080167E4 0x080167F4 0x08016804 0x08016814 0x08016894 0x080168E2 0x080168F4,,,0x080167DE->0x084069CC 0x080167D8->g_snled27351_leds+0xC0
0x08016AA8,204,post-text(rodata/.data image),0x08016B3C,,,
0x08016D74,36,post-text(rodata/.data image),,,,
0x08016F63,485,post-text(rodata/.data image),0x08016F7E 0x08016FFC 0x0801702E 0x0801705C 0x0801706E,,,0x08017127->0x0801733B
0x08017320,36,post-text(rodata/.data image),,,,
0x0801734C,624,post-text(rodata/.data image),,,,
0x0801783C,132,post-text(rodata/.data image),,,,
