start,size,kind,fn_starts,suggested_names,callers,callees
0x08014A60,252,code,0x08014AB4,0x08014A60=VectorB0,0x08014A60<-_vectors@0x080000B0(vec),0x08014A62->0x080165C0 0x08014A74->0x0801486A 0x08014A7C->0x0801486A 0x08014A84->0x0801486A 0x08014A8C->0x0801486A 0x08014A94->0x0801486A 0x08014A9C->0x0801486A 0x08014AA4->0x0801486A 0x08014B46->0x08015164 0x08014A6A->__port_irq_epilogue 0x08014AB0->0x0801486A
0x08014C78,370,code,0x08014CD4 0x08014CFC 0x08014D08 0x08014D0C 0x08014D3A,,,0x08014C7E->0x08014090 0x08014D2A->0x0800883C 0x08014DC8->stm32_flash_check_errors
0x08015164,468,code,0x080151A8 0x08015258 0x080152B0 0x0801531C,,,0x08015242->0x0801486A 0x0801525E->0x08014896
0x08015410,100,code,,,,
0x08015536,862,code,0x08015538 0x08015558 0x08015624 0x08015668 0x08015718 0x08015730 0x08015844 0x0801584E 0x08015868 0x08015882,,,0x0801553E->0x08014204 0x08015594->0x0801486A 0x080155C0->chSysPolledDelayX 0x080155CC->chSysPolledDelayX 0x080155DC->otg_disable_ep 0x08015630->otg_disable_ep 0x08015646->0x08014896 0x08015672->otg_txfifo_flush.isra.0 0x080156C0->chSysPolledDelayX 0x080157CE->otg_txfifo_flush.isra.0 0x0801581E->otg_txfifo_flush.isra.0 0x0801584A->otg_disable_ep 0x08015890->0x0800883C
0x080159C0,1202,code,0x08015A4C 0x08015B5C 0x08015E24 0x08015E38 0x08015E4C 0x08015E60,0x08015B5C=Vector14C,0x08015B5C<-_vectors@0x0800014C(vec),0x08015A9A->0x080159C0 0x08015B0E->0x08013AB0 0x08015B74->0x08014396 0x08015BA8->0x08014462 0x08015BB2->otg_disable_ep 0x08015BB8->0x08014406 0x08015C08->0x08014462 0x08015C52->otg_txfifo_flush.isra.0 0x08015C8A->0x08013AB0 0x08015D04->0x08013AB0 0x08015D58->otg_epout_handler.constprop.0 0x08015D62->otg_epout_handler.constprop.0 0x08015D6C->otg_epout_handler.constprop.0 0x08015D76->otg_epout_handler.constprop.0 0x08015D86->0x08015A4C 0x08015D90->0x08015A4C
0x08015E90,42,code,,,,
0x08015FE0,588,code,0x08016058 0x08016130,,,0x08015FE6->0x080140F8 0x08015FFE->rtc_enter_init.lto_priv.0 0x08016022->0x080152B0 0x0801602A->0x0801486A 0x08016032->0x0801486A 0x080160F8->0x08013598 0x080160FC->rtc_enter_init.lto_priv.0 0x08016138->0x08013598 0x0801603E->0x0801486A 0x08016128->chSysRestoreStatusX
0x0801625A,910,code,0x0801625C 0x08016304 0x08016340 0x080163C8 0x080163F4 0x080164C0 0x0801650C 0x08016542 0x08016578 0x080165C0,,,0x080162F6->spi_lld_configure 0x08016310->0x0801357C 0x08016316->0x0801625C 0x08016330->0x08013AB0 0x0801634E->0x0801357C 0x08016354->0x0801625C 0x0801636E->0x08013AB0 0x080163A8->0x0801625C 0x080163CE->0x08014110 0x08016412->0x080151A8 0x08016428->0x080151A8 0x08016432->0x08015258 0x0801649C->spi_lld_configure 0x080164CA->0x0801625C 0x080164D8->0x08015258 0x080164DE->0x08015258
0x08016606,134,code,0x08016608,,,0x08016636->gpio_init 0x08016642->gpio_init 0x0801664E->gpio_init 0x0801665A->gpio_init 0x08016666->gpio_init 0x08016672->gpio_init 0x0801667A->stm32_clock_init
0x080166EC,40,post-text(rodata/.data image),0x080166FC,,,0x080166F0->0x0801357C 0x080166F4->abort
0x08016790,156,ascii-strings,0x0801679A 0x08016808 0x08016810 0x08016826,,,
0x080170C4,60,post-text(rodata/.data image),,,,
0x08017197,493,post-text(rodata/.data image),0x080171A8 0x080171CA 0x08017280,,,0x0801728B->0x080170E1 0x0801734F->efl_lld_size4+0xF
0x08017590,36,post-text(rodata/.data image),,,,
0x0801765C,404,post-text(rodata/.data image),,,,
0x08017850,436,post-text(rodata/.data image),,,,
0x08017CA8,604,post-text(rodata/.data image),,,,
