dump_addr,size,ref_symbol,ref_elf,ref_addr,match_type,score,notes
0x08014F88,44,Vector80,ref1011_feat_lto,0x08012318,fuzzy-anchored,0.649,call-anchored: vector slot 0x80 ; xrefs: _vectors@0x08000080(vec)
0x08014FB4,44,Vector84,ref1011_feat_lto,0x08012344,fuzzy-anchored,0.649,call-anchored: vector slot 0x84 ; xrefs: _vectors@0x08000084(vec)
0x08014FE0,44,VectorFC,ref1011_feat_lto,0x08012370,fuzzy-anchored,0.727,call-anchored: vector slot 0xFC ; xrefs: _vectors@0x080000FC(vec)
0x0801500C,40,Vector120,"ref1011_default_lto,ref1011_feat_lto",0x0801239C,exact,1.000,xrefs: _vectors@0x08000120(vec)
0x08015034,44,Vector124,ref1011_feat_lto,0x080123C4,fuzzy-anchored,0.649,call-anchored: vector slot 0x124 ; xrefs: _vectors@0x08000124(vec)
0x08015060,44,Vector128,ref1011_feat_lto,0x080123F0,fuzzy-anchored,0.649,call-anchored: vector slot 0x128 ; xrefs: _vectors@0x08000128(vec)
0x0801508C,44,Vector12C,ref1011_feat_lto,0x0801241C,fuzzy-anchored,0.727,call-anchored: vector slot 0x12C ; xrefs: _vectors@0x0800012C(vec)
0x080150B8,40,Vector130,"ref1011_default_lto,ref1011_feat_lto",0x08012448,exact,1.000,xrefs: _vectors@0x08000130(vec)
0x080150E0,44,Vector150,ref1011_feat_lto,0x08012470,fuzzy-anchored,0.649,call-anchored: vector slot 0x150 ; xrefs: _vectors@0x08000150(vec)
0x0801510C,44,Vector154,ref1011_feat_lto,0x0801249C,fuzzy-anchored,0.649,call-anchored: vector slot 0x154 ; xrefs: _vectors@0x08000154(vec)
0x08015138,44,Vector158,ref1011_feat_lto,0x080124C8,fuzzy-anchored,0.579,call-anchored: vector slot 0x158 ; xrefs: _vectors@0x08000158(vec)
0x08015338,216,_pal_lld_setgroupmode,ref1011_feat_lto,0x080124F8,fuzzy-anchored,0.733,call-anchored: bl from spi_start@0x080126E8+0x5C ; xrefs: spi_start@0x080126E8(bl) spi_init@0x08012674(bl) spi_init@0x08012674(bl) spi_init@0x08012674(bl) ...
0x08015474,88,_pal_lld_disablepadevent.isra.0,ref1011_feat_lto,0x0801261C,fuzzy,0.930,
0x080154CC,86,otg_disable_ep,ref1011_feat_lto,0x080103F4,fuzzy,0.966,
0x08015522,20,otg_txfifo_flush.isra.0,"ref1011_default_lto,ref1011_feat_lto",0x08010B4C,exact,1.000,
0x08015894,124,usb_lld_start_out,ref1011_feat_lto,0x0801044A,fuzzy,0.857,xrefs: otg_epout_handler.constprop.0@0x08015910(bl~)
0x08015910,176,otg_epout_handler.constprop.0,ref1011_feat_lto,0x08011090,fuzzy,0.925,
0x08015E72,2,__aeabi_idiv0|__aeabi_ldiv0|__cpu_init|__late_init|__malloc_lock|__malloc_unlock|_fini|dummy_cb|td0_reset|wireless_enter_bluetooth_pin_code_entry_kb,"ref1011_default_lto,ref1011_feat_lto",0x080084EC,exact-ambiguous,1.000,tiny body placed (adjacent) ; identical body for: __aeabi_idiv0|__aeabi_ldiv0|__cpu_init|__late_init|__malloc_lock|__malloc_unlock|_fini|dummy_cb|td0_reset|wireless_enter_bluetooth_pin_code_entry_kb
0x08015E74,24,rtc_enter_init.lto_priv.0,"ref1011_default_lto,ref1011_feat_lto",0x08012AAC,exact,1.000,
0x08015E8C,4,_getsize,"ref1011_default_lto,ref1011_feat_lto",0x0801073A,exact,1.000,tiny body placed (adjacent)
0x08015EBA,58,_write,ref1011_feat_lto,0x08010768,fuzzy,0.955,
0x08015EF4,104,Vector48,"ref1011_default_lto,ref1011_feat_lto",0x08012AC4,exact,1.000,xrefs: _vectors@0x08000048(vec)
0x08015F5C,56,Vector4C,"ref1011_default_lto,ref1011_feat_lto",0x08012B2C,exact,1.000,xrefs: _vectors@0x0800004C(vec)
0x08015F94,76,VectorE4,"ref1011_default_lto,ref1011_feat_lto",0x08012B64,exact,1.000,xrefs: _vectors@0x080000E4(vec)
0x0801622C,46,spi_lld_configure,"ref1011_default_lto,ref1011_feat_lto",0x080107A4,exact,1.000,
0x080165E8,30,gpio_init,"ref1011_default_lto,ref1011_feat_lto",0x08010878,exact,1.000,
0x0801668C,2,__aeabi_idiv0|__aeabi_ldiv0|__cpu_init|__late_init|__malloc_lock|__malloc_unlock|_fini|dummy_cb|td0_reset|wireless_enter_bluetooth_pin_code_entry_kb,"ref1011_default_lto,ref1011_feat_lto",0x080084EC,exact-ambiguous,1.000,tiny body placed (adjacent) ; identical body for: __aeabi_idiv0|__aeabi_ldiv0|__cpu_init|__late_init|__malloc_lock|__malloc_unlock|_fini|dummy_cb|td0_reset|wireless_enter_bluetooth_pin_code_entry_kb
0x0801668E,10,_read_r,"ref1011_default_lto,ref1011_feat_lto",0x08012EBC,exact,1.000,
0x08016698,4,_close_r|_lseek_r|null_sendchar_func|sendchar,"ref1011_default_lto,ref1011_feat_lto",0x08008CEA,exact-ambiguous,1.000,tiny body placed (adjacent) ; identical body for: _close_r|_lseek_r|null_sendchar_func|sendchar
0x0801669C,4,_write_r,"ref1011_default_lto,ref1011_feat_lto",0x08012ECA,exact,1.000,tiny body placed (adjacent-both)
0x080166A0,4,_close_r,"ref1011_default_lto,ref1011_feat_lto",0x08012ECE,exact-ambiguous,1.000,tiny body placed (vote) ; ambiguous body {_close_r|_lseek_r|null_sendchar_func|sendchar} resolved by caller: b.w from __sclose@0x0800A178+0x4 ; same body also matches: _lseek_r|null_sendchar_func|sendchar ; xrefs: __sclose@0x0800A178(b)
0x080166BE,24,_fstat_r,ref1011_feat_lto,0x08012F10,fuzzy,0.857,
0x080166DC,16,_exit,ref1011_feat_lto,0x08012F2C,fuzzy-anchored,0.667,call-anchored: bl from abort@0x080085E8+0xA ; xrefs: abort@0x080085E8(bl)
0x08016714,24,spicfg,"ref1011_default_lto,ref1011_feat_lto",0x08014C30,data,1.000,
0x08016730,24,disconnected_config,"ref1011_default_lto,ref1011_feat_lto",0x08014C18,data,1.000,
0x08016748,24,reconnecting_config,"ref1011_default_lto,ref1011_feat_lto",0x08014BD0,data,1.000,
0x08016760,24,connected_config,"ref1011_default_lto,ref1011_feat_lto",0x08014C00,data,1.000,
0x08016778,24,pairing_config,"ref1011_default_lto,ref1011_feat_lto",0x08014BE8,data,1.000,
0x0801682C,16,key_comb_list,"ref1011_default_lto,ref1011_feat_lto",0x08014AA6,data,1.000,
0x08016840,352,g_snled27351_leds,"ref1011_default_lto,ref1011_feat_lto",0x08014158,data,1.000,
0x080169B8,1296,keymaps,ref1011_feat_lto,0x08014548,data,1.000,
0x08016EC8,54,CSWTCH.7,"ref1011_default_lto,ref1011_feat_lto",0x08014A70,data-ambiguous,1.000,object bytes occur at 2 places
0x08016EFE,54,CSWTCH.7,"ref1011_default_lto,ref1011_feat_lto",0x08014A70,data-ambiguous,1.000,object bytes occur at 2 places
0x08016F34,72,col_pins|pins_col,"ref1011_default_lto,ref1011_feat_lto",0x08014B6C,data-ambiguous,1.000,object bytes occur at 2 places
0x08016F7C,24,pins_row|row_pins,"ref1011_default_lto,ref1011_feat_lto",0x08014BB4,data-ambiguous,1.000,object bytes occur at 2 places
0x08016F94,8,b_m16_interleave,"ref1011_default_lto,ref1011_feat_lto",0x080142C0,data,1.000,
0x08016FB4,256,CIE1931_CURVE,"ref1011_default_lto,ref1011_feat_lto",0x080142C8,data,1.000,
0x080170B4,16,encoder_LUT,"ref1011_default_lto,ref1011_feat_lto",0x08014B5A,data,1.000,
0x08017100,36,ProductString,"ref1011_default_lto,ref1011_feat_lto",0x08014084,data,1.000,
0x08017124,20,ManufacturerString,"ref1011_default_lto,ref1011_feat_lto",0x080140A8,data,1.000,
0x0801713C,91,ConfigurationDescriptor,"ref1011_default_lto,ref1011_feat_lto",0x080140C0,data,1.000,
0x08017384,28,efl_lld_size4,"ref1011_default_lto,ref1011_feat_lto",0x08014D18,data,1.000,
0x080173A0,28,efl_lld_size3,"ref1011_default_lto,ref1011_feat_lto",0x08014D34,data,1.000,
0x080173BC,28,efl_lld_size2,"ref1011_default_lto,ref1011_feat_lto",0x08014D50,data,1.000,
0x080173D8,28,efl_lld_size1,"ref1011_default_lto,ref1011_feat_lto",0x08014D6C,data,1.000,
0x080173F4,64,efl_lld_sect4,"ref1011_default_lto,ref1011_feat_lto",0x08014C48,data,1.000,
0x08017434,56,efl_lld_sect3,"ref1011_default_lto,ref1011_feat_lto",0x08014C88,data-ambiguous,1.000,object bytes occur at 2 places
0x0801746C,48,efl_lld_sect2,"ref1011_default_lto,ref1011_feat_lto",0x08014CC0,data-ambiguous,1.000,object bytes occur at 3 places
0x0801749C,40,efl_lld_sect1,"ref1011_default_lto,ref1011_feat_lto",0x08014CF0,data-ambiguous,1.000,object bytes occur at 4 places
0x080174C4,192,_stm32_dma_streams,"ref1011_default_lto,ref1011_feat_lto",0x08014DB4,data,1.000,
0x08017584,12,fsparams,"ref1011_default_lto,ref1011_feat_lto",0x08014E9C,data,1.000,
0x080175B4,168,gpio_default_config,"ref1011_default_lto,ref1011_feat_lto",0x08014F28,data,1.000,
0x080177F0,72,col_pins|pins_col,"ref1011_default_lto,ref1011_feat_lto",0x08014B6C,data-ambiguous,1.000,object bytes occur at 2 places
0x08017838,24,pins_row|row_pins,"ref1011_default_lto,ref1011_feat_lto",0x08014BB4,data-ambiguous,1.000,object bytes occur at 2 places
0x08017A04,8,cs_pins,"ref1011_default_lto,ref1011_feat_lto",0x080142B8,data,1.000,
0x08017A28,136,usb_endpoints_out,"ref1011_default_lto,ref1011_feat_lto",0x20000E5C,data,1.000,
0x08017AB0,504,usb_endpoints_in,"ref1011_default_lto,ref1011_feat_lto",0x20000EE4,data,1.000,
