dump_addr,size,ref_symbol,ref_elf,ref_addr,match_type,score,notes
0x08016304,60,spi_lld_serve_tx_interrupt,"ref1011_default,ref1011_feat",0x08014824,exact,1.000,xrefs: spi_lld_start@0x080163F4(ptr)
0x08016340,136,spi_lld_serve_rx_interrupt,ref1011_feat,0x0801479C,fuzzy-anchored,0.944,call-anchored: fnptr lit in spi_lld_start@0x080163F4+0xC0 ; xrefs: spi_lld_start@0x080163F4(ptr)
0x080163C8,44,spi_lld_init,ref1011_feat,0x08014860,fuzzy-anchored,0.944,call-anchored: b.w from spiInit@0x0801410C+0x0 ; xrefs: spiInit@0x0801410C(b)
0x080163F4,204,spi_lld_start,"ref1011_default,ref1011_feat",0x0801488C,exact,1.000,xrefs: spiStart@0x08014120(bl)
0x080164C0,76,spi_lld_stop,"ref1011_default,ref1011_feat",0x08014958,exact,1.000,xrefs: spiStop@0x08014142(bl)
0x0801650C,54,spi_lld_exchange,"ref1011_default,ref1011_feat",0x080149A4,exact,1.000,
0x08016542,54,spi_lld_send,"ref1011_default,ref1011_feat",0x080149DA,exact,1.000,xrefs: spiStartSendI@0x080141A4(b)
0x08016578,72,st_lld_init,"ref1011_default,ref1011_feat",0x08014A10,exact,1.000,xrefs: stInit@0x08013CF6(b)
0x080165C0,40,st_lld_serve_interrupt,"ref1011_default,ref1011_feat",0x08014A58,exact,1.000,xrefs: VectorB0@0x08014A60(bl)
0x080165E8,30,gpio_init,"ref1011_default,ref1011_feat",0x08014A80,exact,1.000,xrefs: __chibios_override___early_init@0x08016608(bl~) __chibios_override___early_init@0x08016608(bl~) __chibios_override___early_init@0x08016608(bl~) __chibios_override___early_init@0x08016608(bl~) ...
0x08016608,132,__chibios_override___early_init,ref1011_feat,0x08014AA0,fuzzy-anchored,0.864,call-anchored: bl from __early_init@0x08012C4C+0x6 ; xrefs: __early_init@0x08012C4C(bl)
0x0801668C,2,__chibios_override_boardInit,"ref1011_default,ref1011_feat",0x08014B20,exact-ambiguous,1.000,tiny body placed (vote) ; ambiguous body {__aeabi_idiv0|__aeabi_ldiv0|__chibios_override_boardInit|__cpu_init|__late_init|__malloc_lock|__malloc_unlock|_fini|battery_stop|board_init|default_layer_debug|default_layer_state_set_user|dummy_cb|early_hardware_init_post|housekeeping_task_user|keyboard_post_init_user|keyboard_pre_init_user|layer_debug|layer_state_set_user|leader_start_user|led_init_ports|led_set_user|led_update_ports|matrix_init_user|matrix_power_down|matrix_power_up|matrix_print|matrix_scan_user|matrix_setup|notify_usb_device_state_change_user|oneshot_layer_changed_user|oneshot_locked_mods_changed_user|oneshot_mods_changed_user|post_process_record_user|rgb_matrix_none_indicators_user|suspend_power_down_user|suspend_wakeup_init_user|td0_reset|wireless_enter_bluetooth_pin_code_entry_kb|wireless_enter_connected_kb|wireless_enter_discoverable_kb|wireless_enter_reconnecting_kb|wireless_enter_sleep_kb|wireless_exit_bluetooth_pin_code_entry_kb|wireless_post_task} resolved by caller: bl from boardInit@0x08012C5C+0x2 ; same body also matches: __aeabi_idiv0|__aeabi_ldiv0|__cpu_init|__late_init|__malloc_lock|__malloc_unlock|_fini|battery_stop|board_init|default_layer_debug|default_layer_state_set_user|dummy_cb|early_hardware_init_post|housekeeping_task_user|keyboard_post_init_user|keyboard_pre_init_user|layer_debug|layer_state_set_user|leader_start_user|led_init_ports|led_set_user|led_update_ports|matrix_init_user|matrix_power_down|matrix_power_up|matrix_print|matrix_scan_user|matrix_setup|notify_usb_device_state_change_user|oneshot_layer_changed_user|oneshot_locked_mods_changed_user|oneshot_mods_changed_user|post_process_record_user|rgb_matrix_none_indicators_user|suspend_power_down_user|suspend_wakeup_init_user|td0_reset|wireless_enter_bluetooth_pin_code_entry_kb|wireless_enter_connected_kb|wireless_enter_discoverable_kb|wireless_enter_reconnecting_kb|wireless_enter_sleep_kb|wireless_exit_bluetooth_pin_code_entry_kb|wireless_post_task ; xrefs: boardInit@0x08012C5C(bl)
0x0801668E,10,_read_r,"ref1011_default,ref1011_feat",0x08014B22,exact,1.000,
0x08016698,4,_close_r|_lseek_r|null_sendchar_func|rgb_matrix_map_row_column_to_led_kb|sendchar,"ref1011_default,ref1011_feat",0x0800CD30,exact-ambiguous,1.000,tiny body placed (adjacent) ; identical body for: _close_r|_lseek_r|null_sendchar_func|rgb_matrix_map_row_column_to_led_kb|sendchar
0x0801669C,4,_write_r,"ref1011_default,ref1011_feat",0x08014B30,exact,1.000,tiny body placed (adjacent-both)
0x080166A0,4,_close_r,"ref1011_default,ref1011_feat",0x08014B34,exact-ambiguous,1.000,tiny body placed (vote) ; ambiguous body {_close_r|_lseek_r|null_sendchar_func|rgb_matrix_map_row_column_to_led_kb|sendchar} resolved by caller: b.w from __sclose@0x0800A178+0x4 ; same body also matches: _lseek_r|null_sendchar_func|rgb_matrix_map_row_column_to_led_kb|sendchar ; xrefs: __sclose@0x0800A178(b)
