start,size,kind,fn_starts,suggested_names,callers,callees
0x0800F7F8,104,code,0x0800F81C,,,
0x0800F8F8,84,code,,,,
0x0800F97E,74,code,,,,0x0800F99A->sqrt16
0x0800FC20,70,code,,0x0800FC20=atan2_8,0x0800FC20<-CYCLE_SPIRAL_math@0x0800FCDC(bl~) 0x0800FC20<-BAND_SPIRAL_VAL_math@0x0800FC66(bl~) 0x0800FC20<-CYCLE_PINWHEEL_math@0x0800FCAC(bl~),
0x0800FD38,220,code,,,,0x0800FDE0->sqrt16
0x0800FE8C,88,code,,,,0x0800FE9C->0x0800F7F8 0x0800FEA4->0x0800F7F8 0x0800FEBC->rgb_matrix_hsv_to_rgb 0x0800FED2->rgb_matrix_set_color
0x08010060,266,code,,0x08010060=process_rgb_matrix,0x08010060<-keyboard_task@0x0800E7B8(bl~),0x0801006C->is_keyboard_master 0x08010086->rgb_matrix_map_row_column_to_led 0x080100A2->0x0800883C 0x080100B2->0x0800883C 0x080100C6->0x0800883C 0x080100D6->0x0800883C 0x08010116->0x0800FD38
0x0801017E,262,code,,0x0801017E=rgb_matrix_get_limits,0x0801017E<-rgb_matrix_indicators_advanced@0x08010C54(bl~),0x080101B8->0x0801017E 0x0801021C->sqrt16 0x0801025C->rgb_matrix_hsv_to_rgb 0x0801026C->rgb_matrix_set_color
0x080102A8,184,code,,,,0x080102B6->0x0801017E 0x08010338->rgb_matrix_hsv_to_rgb 0x08010348->rgb_matrix_set_color
0x08010378,152,code,,,,0x08010386->0x0801017E 0x080103EA->rgb_matrix_hsv_to_rgb 0x080103FA->rgb_matrix_set_color
0x08010440,192,code,,,,0x08010452->0x0801017E 0x08010474->0x0800F81C 0x08010480->0x0800F81C 0x080104DC->rgb_matrix_hsv_to_rgb 0x080104EC->rgb_matrix_set_color
0x08010518,224,code,,,,0x0801052C->0x0801017E 0x080105B0->rgb_matrix_hsv_to_rgb 0x080105C0->rgb_matrix_set_color
0x08010604,300,code,,,,0x08010612->0x0801017E 0x0801065C->0x0800883C 0x08010680->rgb_matrix_hsv_to_rgb 0x08010690->rgb_matrix_set_color 0x080106C2->sqrt16
0x08010788,1220,code,0x080107FC 0x080108B0 0x08010920 0x08010A4C,0x08010A4C=rgb_task_render,0x08010A4C<-rgb_matrix_set_suspend_state@0x08011180(bl~) 0x08010A4C<-rgb_matrix_task@0x08011058(bl~),0x08010790->0x0801017E 0x080107AA->rgb_matrix_hsv_to_rgb 0x080107EA->rgb_matrix_set_color 0x08010808->0x0801017E 0x08010832->0x0800F81C 0x08010858->rgb_matrix_hsv_to_rgb 0x0801089A->rgb_matrix_set_color 0x080108B6->0x0801017E 0x080108F8->0x0800FE8C 0x0801090C->0x0800FE8C 0x0801092A->0x0801017E 0x08010940->rgb_matrix_set_color_all 0x0801094A->0x08008798 0x080109B8->timer_elapsed 0x080109CA->timer_read 0x08010A0E->rgb_matrix_hsv_to_rgb
0x08010D04,60,code,,0x08010D04=rgb_matrix_mode_eeprom_helper,0x08010D04<-rgb_matrix_step_reverse_helper@0x08010D6C(b) 0x08010D04<-rgb_matrix_mode@0x08010D40(b),0x08010D28->eeconfig_flag_rgb_matrix
0x08010E22,34,code,0x08010E24,0x08010E24=rgb_matrix_decrease_sat_helper,0x08010E24<-rgb_matrix_decrease_sat@0x08010E44(b),0x08010E3C->rgb_matrix_sethsv_eeprom_helper
0x08011200,76,code,0x08011218,0x08011200=snled27351_write_register 0x08011218=snled27351_write_pwm_buffer,0x08011200<-snled27351_init@0x0801124C(bl~) 0x08011200<-snled27351_init@0x0801124C(bl~) 0x08011200<-snled27351_init@0x0801124C(bl~) 0x08011218<-snled27351_update_pwm_buffers@0x0801144C(bl~),0x0801120E->snled27351_write 0x08011234->snled27351_write
0x08011396,182,code,0x08011398,0x08011398=snled27351_set_led_control_register,0x08011398<-snled27351_init_drivers@0x080114B0(bl~),
0x08011472,62,code,0x08011480,0x08011480=snled27351_update_led_control_registers,0x08011480<-snled27351_init_drivers@0x080114B0(bl~),0x0801149C->snled27351_write
0x08011844,76,code,,,,
0x080118F4,76,code,,,,0x08011902->get_mods|get_oneshot_mods|get_transport|get_weak_mods|keyboard_leds|leader_sequence_active|rgb_matrix_is_driver_shutdown|wireless_get_state 0x08011908->leader_sequence_timed_out 0x0801191E->leader_sequence_add 0x08011924->leader_end 0x0801192A->default_layer_state_set|layer_state_set 0x08011938->leader_start
0x08011A62,290,code,0x08011A8C 0x08011B14,0x08011A62=times_inv_sqrt2 0x08011A8C=move_unit 0x08011B14=wheel_unit,0x08011A62<-mousekey_task@0x08011DF0(bl~) 0x08011A62<-mousekey_task@0x08011DF0(bl~) 0x08011A62<-mousekey_task@0x08011DF0(bl~) 0x08011A8C<-mousekey_task@0x08011DF0(bl~) 0x08011A8C<-mousekey_task@0x08011DF0(bl~) 0x08011B14<-mousekey_task@0x08011DF0(bl~) 0x08011B14<-mousekey_task@0x08011DF0(bl~),0x08011AA6->timer_elapsed 0x08011B38->timer_elapsed
0x08011D48,32,code,,,,0x08011D50->mousekey_off+0xF2
0x08011DCC,36,code,,0x08011DCC=should_mousekey_report_send,0x08011DCC<-mousekey_task@0x08011DF0(bl~),
0x080121E8,180,code,0x08012238,0x08012238=is_key_pressed,0x08012238<-register_code@0x0800D570(bl),
0x080127FE,278,code,0x08012800,,,0x0801282A->usb_get_report_cb 0x0801284E->usb_get_idle_cb 0x080128A6->usb_set_idle_cb
0x08012DA6,58,code,,,,0x08012DD2->obqObjectInit
0x080132A6,94,code,0x080132A8,,,0x080132D4->stGetCounter 0x080132EE->__aeabi_uldivmod
0x08013F4C,134,code,,0x08013F4C=obqWriteTimeout,0x08013F4C<-usb_endpoint_in_send@0x08012FA2(bl~),0x08013F6C->obqGetEmptyBufferTimeoutS 0x08013F94->0x0800883C 0x08013FAE->obqPostFullBufferS 0x08013FC4->0x0800883C
0x08013FF2,62,code,0x08013FF4,,,0x0801401E->__aeabi_uldivmod 0x08014022->chThdSleep
0x08014D3A,176,code,,,,0x08014DC8->stm32_flash_check_errors
0x08014DF6,62,code,,,,0x08014DFA->_getpid|_isatty_r|dip_switch_update_mask_user|is_keyboard_master|led_update_user|matrix_can_read|pre_process_record_user|process_action_kb|process_record_keychron_kb|rgb_matrix_indicators_advanced_user|rgb_matrix_indicators_user|shutdown_user
0x080152B0,108,code,,0x080152B0=extiEnableGroup1,0x080152B0<-rtc_lld_init@0x08015FE0(bl~),
0x080159C0,140,code,,0x080159C0=usb_lld_start_in,0x080159C0<-otg_epin_handler.constprop.0@0x08015A4C(bl~),
0x08015E90,42,code,,,,
0x08016790,156,ascii-strings,0x0801679A 0x08016808 0x08016810 0x08016826,,,
0x080170C4,60,post-text(rodata/.data image),,,,
0x08017197,493,post-text(rodata/.data image),0x080171A8 0x080171CA 0x08017280,,,0x0801728B->0x080170E1 0x0801734F->efl_lld_size4+0xF
0x08017590,36,post-text(rodata/.data image),,,,
0x0801765C,404,post-text(rodata/.data image),,,,
0x08017850,436,post-text(rodata/.data image),,,,
0x08017CA8,604,post-text(rodata/.data image),,,,
